,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value
SUBJECT,BCBUTE02,BCCI,BCCICP02,BCEMFT02,BCOBLV02,BCSPFT02,BRBUFT02,BRBUTE02,BRCI,BRCICP02,BREMFT02,BRODFT02,BRVSLV02,BSCI,BSCICP02,BSEMFT02,BSFGLV02,BSOBLV02,BSPRFT02,BSPRTE02,BSSPFT02,BSXRLV02,BVBUTE02,BVCI,BVCICP02,BVDEFT02,BVDETE02,BVEMFT02,BVEMTE02,CCEUSP01,CCRETT01,CCUSMA02,CCUSSP01,CP010000,CP020000,CP030000,CP040000,CP040100,CP040200,CP040300,CP040400,CP040500,CP050000,CP060000,CP070000,CP070200,CP080000,CP090000,CP100000,CP110000,CP120000,CPALTT01,CPGREN01,CPGRGO01,CPGRHO01,CPGRHO02,CPGRLE01,CPGRLH01,CPGRLH02,CPGRSE01,CPHP0100,CPHP0200,CPHP0300,CPHP0400,CPHP0401,CPHP0403,CPHP0404,CPHP0405,CPHP0500,CPHP0600,CPHP0700,CPHP0702,CPHP0800,CPHP0900,CPHP1000,CPHP1100,CPHP1200,CPHPEN01,CPHPLA01,CPHPSE01,CPHPTT01,CSCICP02,CSESFT,CSESFT02,CSINFT,CSINFT02,FTSE,IR3TIB01,IRLTLT01,IRSTCI01,LCEAMN01,LCEAMN02,LCEAPR02,LCEATT02,LFHU24FE,LFHU24MA,LFHU24TT,LFHUADFE,LFHUADMA,LFHUADTT,LFHUTTFE,LFHUTTMA,LFHUTTTT,LMJVTTUV,LMUNRLTT,LMUNRRTT,LOCOBPNO,LOCOBPOR,LOCOCINO,LOCOCIOR,LOCOS3NO,LOCOS3OR,LOCOSPNO,LOCOSPOR,LOCOSTNO,LOCOSTOR,LOCOVRNO,LOLITOAA,LOLITONO,LOLITOTR,LORSGPNO,LORSGPRT,LORSGPTD,LRHU24FE,LRHU24MA,LRHU24TT,LRHUADFE,LRHUADMA,LRHUADTT,LRHUTTFE,LRHUTTMA,LRHUTTTT,MABMM301,MANMM101,PIEAEN01,PIEAEN02,PIEAFD01,PIEAFD02,PIEAMI01,PIEAMI02,PIEAMP01,PIEAMP02,PIEATI01,PIEATI02,PITGCD01,PITGCD02,PITGCG01,PITGCG02,PITGIG01,PITGIG02,PITGND01,PITGND02,PITGVG01,PITGVG02,PRCNTO01,PREND401,PRINTO01,PRMITO01,PRMNCG01,PRMNCG02,PRMNCG03,PRMNIG01,PRMNTO01,PRMNVG01,SLRTCR03,SLRTTO01,SLRTTO02,SPASTT01,XTEXVA01,XTIMVA01
TIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-01,-1.3,-6.9,-6.9,3.9,-17.7,25.7,18.0,3.5,0.4,0.4,9.8,3.1,20.3,-3.8,-3.8,-11.3,9.8,-14.1,12.6,8.2,-8.1,-20.6,14.8,23.0,23.0,34.6,19.6,21.8,11.6,1.65371258475277,114.13202909105699,31.46813379592612,1.6237,31.85,29.349999999999998,77.5,35.5,34.8,40.82564102564102,35.150000000000006,30.85,19.65,40.949999999999996,33.45,34.15,42.7,46.95,49.25,17.8,32.15,36.4,36.9,29.5160944370952,42.300000000000004,35.474362818590706,34.91196733107065,38.582309582309605,23.01626375468136,22.988062268543082,33.720000000000006,32.0,29.400000000000002,77.45,28.6,34.8,35.0,30.85,19.400000000000002,41.0,33.5,34.3,42.7,47.25,49.3,17.8,32.15,36.349999999999994,29.549999999999997,38.85,31.55,36.35,3.2,-1.0,-1.0,17.9,17.9,,6.1363199999999996,5.8227,5.3527,45.09278614227119,64.3307480501197,64.02359193189415,63.9404894719176,231.5,290.0,522.0,428.0,674.0,1102.0,659.5,964.0,1624.0,340300.0,1199.65,3.9,101.02540712327,12.6,100.371678873285,3.2,100.13842678543101,34.6,101.158529700684,121.92113290000002,100.41441916207701,6.1363199999999996,98.5804172352385,100.271443868154,100.24981692611799,39.99699717933835,100.76455929579201,100.830361623656,75.5048538752099,11.2,12.75,12.0,3.8499999999999996,5.05,4.5,5.050000000000001,6.15,5.65,212637.17972011148,135226.47421693386,27.53539964656305,28.531803460326202,,34.356053538269,,64.91683473219214,,38.621722438492704,,33.542432763208886,41.38682018032949,43.64425710047531,39.1850930606458,37.619851377158604,38.10983355198885,35.95045343659796,39.030596036293296,37.057481797535665,43.20652580642626,41.77631922544649,,110.0408299308389,72.15939376424862,233.21943495291248,107.114493712773,128.495575221239,93.41677096370466,106.994544418207,66.55945419103325,88.41187034978195,58.616653337960976,37.27975620374401,61.066425884704756,53.56235607900644,12.6897499022276,7.67515377003788
2000-02-01,-7.6,-11.1,-11.1,-2.0,-20.1,24.2,29.1,-3.4,3.2,3.2,13.1,16.6,16.1,-6.0,-6.0,-10.9,13.2,-12.4,7.5,3.6,-5.8,-15.6,15.2,22.7,22.7,33.9,19.1,22.4,11.6,1.63025758069775,113.63013156036301,32.59110279669144,1.5927,31.75,29.700000000000003,79.05,35.45,34.8,40.63014048531289,35.35,30.85,19.75,40.85,33.3,34.8,42.9,46.5,49.400000000000006,17.8,32.199999999999996,36.150000000000006,37.0,29.639237262708903,42.6,35.44581464872945,34.93268601059888,38.79851940008188,22.963116185458144,22.914096453562486,33.68540669856459,31.85,29.7,79.05,28.650000000000002,34.8,35.15,30.85,19.450000000000003,40.9,33.25,34.949999999999996,42.9,46.75,49.5,17.8,32.199999999999996,36.0,29.7,39.050000000000004,31.599999999999998,36.550000000000004,1.3,-5.5,-5.5,23.0,23.0,,6.23781,5.6347,5.8408,43.75612501187995,63.39538154767065,63.8261491199258,63.97094640482615,238.5,297.5,536.0,434.5,667.0,1101.5,673.5,964.5,1638.0,341700.0,1189.6,3.9,100.794874391257,7.5,100.227313349583,1.3,99.89309102191271,33.9,101.086736268495,112.8810709,100.52821960633301,6.23781,98.66138656017321,100.088294546777,100.081259792011,39.75724540930436,100.763151211311,100.82882603135401,75.7094454713807,11.55,13.05,12.3,3.95,5.0,4.5,5.15,6.15,5.7,216042.05723011904,136555.75690955794,28.9404797505088,29.939809860347648,,34.19916200673586,,78.11704611469835,,38.50966344485476,,33.821319142419945,41.384338514155665,43.50494096007335,39.11911374112926,37.51469925635024,38.462238552568195,36.170232338063364,39.02472251111346,37.04311345441579,43.32437033342363,41.72364740793954,,108.04099658361778,74.87307380164326,228.06900575047902,108.405029781602,137.04171934260398,96.9712140175219,113.2969627880465,70.5026441144403,93.4405199692124,31.258775456559434,35.942883699834944,60.03244762268051,48.23922575064262,11.3880346236587,7.80066663085769
2000-03-01,-2.9,-4.5,-4.5,6.0,-15.1,26.3,19.8,-6.7,-2.4,-2.4,21.9,15.1,20.3,-6.7,-6.7,-10.8,16.2,-18.4,14.5,6.4,-12.9,-18.5,16.3,22.8,22.8,33.4,18.6,22.5,11.8,1.6708437761069301,113.50972887273701,33.27034896444152,1.5951,31.450000000000003,28.8,79.9,35.4,34.8,40.67908163265306,35.150000000000006,30.85,19.8,40.949999999999996,33.6,34.75,42.95,46.25,49.3,17.8,32.35,36.4,37.0,29.55182011164398,42.5,35.36940298507463,34.87707080694399,38.89908739908736,22.879611349324176,22.823304381391466,33.603503184713375,31.550000000000004,28.799999999999997,79.95,28.6,34.8,34.95,30.85,19.45,41.05,33.6,34.9,42.95,46.449999999999996,49.4,17.8,32.35,36.25,29.65,39.099999999999994,31.65,36.449999999999996,-0.8,-7.8,-7.8,20.3,20.3,,6.2283800000000005,5.3707,5.7620000000000005,44.43728495159731,64.42662806433864,66.62781223130551,66.2438396214672,224.0,312.5,536.5,426.0,653.5,1080.0,651.0,966.0,1616.5,344600.0,1169.15,3.8,100.535446251478,14.5,100.042505147038,-0.8,99.6163096685222,33.4,101.05736817238599,122.5639445,100.614725696992,6.2283800000000005,98.7858288279825,99.90828058445558,99.915588211248,39.52889093654794,100.72161436312,100.78353836985599,75.91392207902929,11.0,13.5,12.35,3.8499999999999996,4.85,4.45,4.95,6.15,5.6,220419.68522294326,137841.36837240608,28.64137218528645,29.621681370633496,,34.170405490887546,,67.30444859213605,,38.54892968603668,,33.681683397263264,41.46843081109469,43.50494096007335,39.22966966812581,37.46228905102621,38.812587752460665,36.41374419542364,39.10423958430724,36.9363898685033,43.3264612795041,41.543620622055435,,106.19115073743828,78.15879452038484,235.41961830152502,108.107213765718,150.037926675095,101.62703379224044,120.0879407214395,74.17241328172516,100.98349439835809,91.77946777170717,36.138497081204676,60.7063152151345,52.61834954297642,9.51650664969223,6.9204805048991
2000-04-01,-5.0,-7.9,-7.9,2.5,-18.4,26.6,22.0,2.3,-0.7,-0.7,17.2,9.9,26.3,-9.5,-9.5,-12.9,12.9,-18.2,2.7,6.2,-12.5,-10.3,19.9,22.9,22.9,16.2,32.7,3.8,25.4,1.72592336900242,115.298796361539,33.01528007372024,1.5681,31.45,31.1,80.6,35.25,35.3,40.825921219822106,35.4,21.35,18.849999999999998,41.6,33.949999999999996,34.6,42.0,45.8,49.25,17.75,32.55,35.900000000000006,37.1,28.63540012872772,42.699999999999996,35.287573964497035,35.294517677121334,38.9348894348894,22.960142008056287,22.836385457721978,33.713823064770935,31.55,31.05,80.64999999999999,27.599999999999998,35.3,35.2,21.35,18.599999999999998,41.7,33.8,34.75,42.0,46.050000000000004,49.3,17.75,32.55,35.8,28.650000000000002,39.15,31.5,36.599999999999994,-1.6,-12.1,-12.1,18.7,18.7,,6.296469999999999,5.3213,5.9347,45.783230508149956,65.39442248180166,64.2196900548428,64.13586975622576,213.5,308.0,521.5,413.0,649.0,1061.5,626.0,957.0,1583.5,355700.0,1127.6999999999998,3.6500000000000004,100.26262134840599,2.7,99.86588994631991,-1.6,99.37099149994341,16.2,101.044980728313,122.1737088,100.677917641324,6.296469999999999,98.8961506460172,99.741515013109,99.76210947290171,39.332510412099396,100.644264818583,100.69925829613399,76.1182720294809,10.45,13.4,12.0,3.75,4.85,4.35,4.800000000000001,6.05,5.5,221593.53199944805,140463.00817518614,23.594239343544203,24.511633163264506,,34.13276222591446,,42.71143149848695,,38.32652723793755,,32.42838629569133,41.61981014464544,43.787216702665944,39.16507180336648,37.51469925635024,39.082294556676246,36.713351835413455,38.99569487242179,36.9363898685033,43.160811465745645,41.45360722911339,,102.2914757103575,71.37727525561355,222.61855154596253,109.298477829252,128.95069532237702,97.1214017521903,108.0693754580245,67.26321792505229,88.9763106131874,53.49591319134666,36.00638282187768,61.846617383620746,46.612943672973444,14.100100377670401,15.485939216164502
2000-05-01,-3.2,-9.3,-9.3,5.6,-24.3,29.2,20.0,1.1,0.2,0.2,12.7,11.6,20.7,-8.3,-8.3,-12.9,12.1,-8.9,-3.8,6.9,-15.9,-15.0,20.3,22.8,22.8,15.2,32.8,3.4,25.8,1.6064257028112399,113.511054647161,36.29915867342506,1.4948,32.0,31.05,80.05000000000001,35.400000000000006,35.4,41.117811704834615,35.4,21.35,18.45,41.300000000000004,33.95,34.75,41.550000000000004,45.65,49.35,17.7,32.85,36.2,37.25,28.16733227081863,42.75,35.41153846153847,35.34223649568496,39.035626535626506,23.240737081876986,23.134763884184867,34.01955835962145,32.1,31.05,80.05,27.450000000000003,35.4,35.199999999999996,21.35,18.2,41.449999999999996,33.9,34.9,41.550000000000004,45.800000000000004,49.45,17.7,32.85,36.1,28.25,39.2,31.65,36.65,-0.6,-11.1,-11.1,23.4,23.4,,6.30356,5.4033,5.9122,44.59032622492358,64.29837212513615,64.48068357761734,64.29855220570045,209.0,302.0,511.5,402.0,635.5,1037.5,611.0,938.0,1549.0,354300.0,1106.45,3.6,100.04558335526801,-3.8,99.72583422967129,-0.6,99.2724858888562,15.2,101.036793719882,120.0453679,100.720741114216,6.30356,98.9677121440198,99.6315917744318,99.6609442272764,39.21865228810052,100.535637541959,100.581016978605,76.32248805760841,10.25,13.25,11.850000000000001,3.6500000000000004,4.7,4.2,4.65,5.95,5.4,225910.06792831738,142870.33143787683,24.5902241872953,25.5163968952426,,34.45335023282707,,58.8334104817185,,38.32652723793755,,32.64639849285304,41.71317415422756,43.836139448930574,40.099658501636654,37.60711182156285,39.40694238684529,36.769207174941066,40.11159447469964,37.121557898042155,43.181333675528215,41.188025028412355,,98.64177985167879,73.67464077797085,208.2673556129675,108.70284579748501,140.07585335019,99.37421777221525,114.46950574057502,70.42984602481177,95.33909176430345,60.928409468648645,35.30014766152157,61.5360472808216,46.28374547529322,4.17194561309215,8.8722844866872
2000-06-01,-5.2,-4.3,-4.3,8.7,-17.4,25.2,28.1,-2.3,1.3,1.3,17.2,4.5,21.8,-8.7,-8.7,-12.8,11.1,-14.6,-0.5,2.6,-13.8,-30.2,18.9,22.1,22.1,14.9,32.4,3.2,25.5,1.58152775581211,110.115843476659,35.78303513113994,1.5122,32.550000000000004,30.950000000000003,79.5,35.45,35.5,41.1828025477707,35.2,21.35,18.3,41.15,33.849999999999994,35.8,46.2,45.7,49.25,17.7,32.95,35.8,37.4,30.15498208958665,43.0,35.41153846153847,35.372713301376166,38.920741856225746,23.27333757759103,23.167359933040526,34.067322834645665,32.65,30.85,79.5,27.450000000000003,35.5,35.0,21.35,17.95,41.25,33.9,35.949999999999996,46.2,45.9,49.35,17.7,32.95,35.699999999999996,30.3,39.150000000000006,31.75,36.85,-1.5,-11.2,-11.2,20.9,20.9,,6.22682,5.2097,5.9032,44.156349298353064,63.976120586185054,64.44786608822389,64.2656750987129,226.5,305.5,531.5,401.5,601.5,1003.0,628.0,907.0,1535.0,357200.0,1085.4,3.55,99.93291095682959,-0.5,99.62600282920509,-1.5,99.36078540327459,14.9,101.03125043561501,121.3896462,100.74742361698799,6.22682,98.9930414970619,99.5984666813566,99.6304583335051,39.20841332445854,100.40168073681,100.435395504158,76.5265669846488,10.9,13.3,12.15,3.6500000000000004,4.5,4.05,4.75,5.75,5.3,228252.94845324437,143937.69165008486,26.676764689203047,27.626347765755604,,34.45335023282707,,64.9495817072783,,39.1414039323554,,33.19052286807384,42.234872630775975,43.978934468830175,40.52940918061817,37.65968794046918,39.96242995930529,37.10831142135887,40.42620361517515,37.028973883272734,43.20061211889672,41.09791828431312,,91.7923506374469,74.44746956570819,213.9678306525545,109.993381866314,145.0821744627055,100.67584480600752,115.6420486931035,71.16314033282289,98.16129308133085,56.00026707969902,35.40040244207611,61.587326113093496,49.1682488395224,12.5829632601656,8.30394678493041
2000-07-01,-4.6,-7.3,-7.3,4.5,-19.1,22.9,11.9,-14.9,-8.5,-8.5,17.7,4.8,22.3,-8.3,-8.3,-11.1,14.8,-12.4,2.3,-3.2,-10.2,-24.5,-0.5,13.9,13.9,31.8,10.4,19.9,15.2,1.6183848519177901,110.32724507233101,35.45175572888464,1.4982,33.650000000000006,30.5,72.05,35.5,35.7,41.117811704834615,35.25,21.35,18.400000000000002,40.15,34.1,35.8,46.2,46.800000000000004,49.2,17.65,33.15,35.75,37.25,30.162444084895803,42.449999999999996,35.53550295857989,35.52614450530607,38.56757396601148,23.285355143802327,23.182739527271064,34.11509433962265,33.75,30.400000000000002,71.95,27.55,35.7,35.05,21.35,18.0,40.25,34.050000000000004,35.949999999999996,46.2,46.95,49.300000000000004,17.65,33.15,35.65,30.25,38.85,31.950000000000003,36.7,-1.8,-13.8,-13.8,24.8,24.8,,6.19247,5.2388,5.9867,44.27224460873702,64.26625615030511,64.93676670657561,64.72057643191835,242.5,323.5,566.0,389.5,595.0,984.5,632.5,918.5,1550.5,362900.0,1081.75,3.5,99.9167071337365,2.3,99.5759693053776,-1.8,99.6017227792654,31.8,101.02520960161199,118.9728182,100.76325830704799,6.19247,98.9942276941424,99.6373804180641,99.66627166815191,39.29609917812623,100.253227683116,100.274261754851,76.7305093976623,11.4,13.65,12.600000000000001,3.5,4.45,4.05,4.800000000000001,5.800000000000001,5.300000000000001,227630.27015258063,145147.854550058,25.01079261797985,25.960375694532402,,34.40127104152909,,48.782664615490745,,39.10794400433759,,33.00683111180144,42.1351690877726,44.034410088325814,40.19604698164751,37.56721991521553,39.852268170564756,37.24077895306575,40.11021105536698,36.9757257469575,43.27605702371438,41.39991993007908,,91.34238813432196,71.27845668592666,211.8176514709555,108.70284579748501,132.4399494311,97.7221526908636,111.0495887957005,67.7286044187088,90.00256563756095,49.245335847323986,35.531384654410566,62.519615843324345,48.857417510638555,4.248358763149709,7.44586486934219
2000-08-01,-7.2,-5.5,-5.5,7.2,-18.2,27.1,20.0,-17.7,-4.5,-4.5,15.6,3.3,15.9,-8.3,-8.3,-11.1,17.0,-12.8,4.9,0.1,-11.3,-17.7,-0.6,13.9,13.9,32.1,10.0,20.0,15.5,1.63078930202218,111.376955378189,37.0655245476495,1.4552,33.1,30.599999999999998,73.30000000000001,35.5,35.699999999999996,41.166518424396436,35.55,21.35,18.400000000000002,40.349999999999994,34.25,34.699999999999996,40.6,44.7,49.449999999999996,17.65,33.55,36.05,37.15,27.52772729660169,42.1,35.58397341211225,35.656954398230944,38.7837837837838,23.44982868423024,23.334876922584662,34.29136577708005,33.199999999999996,30.5,73.25,27.6,35.699999999999996,35.35,21.35,17.95,40.45,34.25,34.800000000000004,40.6,44.85,49.550000000000004,17.65,33.55,35.949999999999996,27.6,39.05,32.1,36.55,0.3,-8.6,-8.6,22.4,22.4,,6.2175400000000005,5.3312,5.8846,43.70493255556655,63.68629696224795,64.9045543272411,64.72102461230335,252.0,323.5,575.0,394.0,595.5,990.5,646.0,919.5,1565.5,361600.0,1074.75,3.5,99.96772791685129,4.9,99.57937553948351,0.3,99.880770851465,32.1,101.023759317119,120.03459450000001,100.77005228891701,6.2175400000000005,98.98944426371571,99.7183475540905,99.7407878514655,39.45033403956138,100.104096145347,100.112651855725,76.93431869670671,11.75,13.6,12.75,3.55,4.45,4.05,4.9,5.800000000000001,5.4,230096.59226006333,146814.92288374717,24.005888062064532,24.956934286654935,,34.28883097585912,,50.6713833599246,,38.618700201492715,,32.82444677016443,42.017186976514324,44.17958910388483,39.95648881628077,37.43480417256059,39.91989905096623,37.39143702727875,39.882047885049616,36.843805853733805,43.15800610201415,40.85587278763814,,90.89242563119726,72.25973229565379,205.36711392616053,111.184645929848,143.31226295828048,100.37546933667065,112.7106913117825,69.15995662916168,91.9524501838707,37.25008058724264,36.2534380082069,62.259165729130004,51.35301541129964,1.9548926500607198,0.301448970072409
2000-09-01,-8.0,-5.3,-5.3,6.7,-17.3,29.3,25.7,-6.4,2.2,2.2,11.1,2.5,12.9,-8.9,-8.9,-12.0,14.5,-11.6,-0.4,0.6,-14.4,-20.9,-1.0,13.5,13.5,31.8,9.5,20.3,15.9,1.67588402882521,110.148470417702,40.20241877634217,1.4701,33.449999999999996,31.1,76.15,35.65,35.75,41.101776649746185,35.6,21.35,19.900000000000002,41.25,34.150000000000006,35.1,42.45,44.2,49.95,18.75,33.7,36.25,37.55,29.065975854073997,42.85,35.632448377581134,35.72385947383628,39.150511215027294,23.614011172195564,23.498450265906655,34.46739811912226,33.55,31.05,76.15,28.0,35.75,35.400000000000006,21.35,19.1,41.449999999999996,34.050000000000004,35.2,42.45,44.35,50.05,18.75,33.7,36.1,29.0,39.349999999999994,32.300000000000004,37.05,-4.9,-15.7,-15.7,28.6,28.6,,6.20569,5.3873,6.1259,44.10560910634715,64.1376882709197,65.1979619327031,64.98108347766255,243.5,307.5,551.0,406.0,597.5,1003.5,649.5,905.5,1555.5,365600.0,1043.8,3.4,100.05952250220301,-0.4,99.63113446845921,-4.9,100.13403357413,31.8,101.025727034117,119.35228049999999,100.76514768832399,6.20569,98.99194611797131,99.8209792959659,99.8352425409444,39.65433728598447,99.97028164234041,99.9678623433608,77.138000130628,11.5,13.25,12.399999999999999,3.7,4.45,4.1,4.9,5.7,5.35,229302.26209606335,147013.76430898914,25.0831487994769,26.06345798482395,,34.44588959102542,,56.9380734599807,,38.83150452137637,,33.09841608963662,41.84549427059956,43.89008256259411,40.24473303889884,37.51469925635024,40.44956590835069,37.67456263319868,40.23251673100287,36.9757257469575,43.31481129020555,40.67452374015786,,94.2921423214733,72.87403683114215,201.8168180681725,109.69556585043001,148.2174462705435,100.67584480600736,113.4435306571125,69.68535652291158,95.6982810228342,78.4399091766086,36.28509372336724,61.9480162044973,51.82369966029492,-3.30833590226246,-1.02853720997602
2000-10-01,-5.0,-6.7,-6.7,4.0,-17.4,29.2,33.5,-11.8,0.8,0.8,20.9,11.8,19.2,-6.7,-6.7,-1.9,13.4,-12.5,5.8,1.6,-10.6,-23.5,3.6,18.2,18.2,33.5,17.4,22.3,10.2,1.7214666896195598,113.188811212854,40.053028813585584,1.4487,33.45,31.05,76.75,35.85,35.95,41.328680203045685,35.949999999999996,21.35,20.349999999999998,40.7,34.2,34.5,39.7,44.849999999999994,50.0,19.3,33.8,36.550000000000004,37.6,27.81706530452456,42.65,35.804565537555234,35.951786622163645,39.215194052403305,23.75736312678719,23.63116381130402,34.64319248826291,33.65,30.95,76.7,28.2,35.95,35.75,21.35,19.5,40.85,34.1,34.65,39.7,45.05,50.1,19.3,33.8,36.3,27.85,39.5,32.45,37.05,0.2,-6.9,-6.9,28.2,28.2,,6.16274,5.2179,5.8135,44.350965247747574,64.6211955544226,65.23064495319456,65.0136916764191,230.0,300.0,530.0,394.5,589.5,984.0,624.5,889.0,1513.5,364500.0,1026.95,3.3499999999999996,100.18608892246401,5.8,99.76098496836109,0.2,100.33349108181,33.5,101.031878820361,116.5021233,100.74506041614401,6.16274,99.0129153682141,99.948092729547,99.9522283747431,39.90672605454597,99.86925200889559,99.85868535242192,77.34155982153621,11.100000000000001,13.1,12.149999999999999,3.6,4.35,4.0,4.75,5.65,5.25,232695.3028946678,149585.363263399,25.83949115892635,26.834431824651702,,34.60394751869542,,55.0282242836324,,39.2482888620229,,33.26525463848765,41.85368297002766,44.322025394299985,39.82266631793773,37.65968794046918,40.03103890905548,37.449203003865534,39.742571543074945,37.0682531147734,43.24074943898961,40.450273830076924,,102.1914840429965,74.85124564664393,205.21710142511853,110.68828590337499,151.6561314791405,103.7296620775971,115.6909046494585,71.90507731089603,96.16009578380229,51.738190077536096,36.824458532868945,63.865033340897995,49.548205469091876,-2.33898636249792,-1.79284901610991
2000-11-01,-1.6,-4.0,-4.0,7.9,-16.0,28.7,11.3,-3.0,-1.6,-1.6,4.9,-3.1,13.1,-8.3,-8.3,-1.6,14.9,-11.8,1.8,2.6,-10.6,-12.9,3.0,17.6,17.6,33.0,16.8,22.5,9.7,1.63185378590078,111.459337368549,40.38579849840379,1.4209,33.800000000000004,31.1,77.39999999999999,36.0,36.0,41.652531645569624,35.85,21.35,19.650000000000002,41.15,33.95,34.8,42.25,45.050000000000004,49.7,19.25,33.95,36.75,37.75,28.845647333104214,42.9,35.97647058823528,35.9253317147463,39.265395894428124,23.767268727517692,23.672640004610155,34.69062499999999,33.9,31.05,77.39999999999999,28.05,36.0,35.65,21.35,18.95,41.300000000000004,33.800000000000004,34.949999999999996,42.25,45.199999999999996,49.75,19.25,33.95,36.5,28.85,39.5,32.45,37.15,-0.6,-10.0,-10.0,29.7,29.7,,6.08629,5.0983,5.9811,44.955343056570655,65.3304504822919,65.7192766337423,65.50066339191905,217.0,293.5,510.5,371.0,584.0,954.5,587.5,877.5,1465.0,374300.0,1018.0999999999999,3.3,100.313228479008,1.8,99.9212971454316,-0.6,100.46891475339399,33.0,101.04161531715599,119.8299003,100.70751843541599,6.08629,99.0504371938389,100.07636666492701,100.070282248848,40.17896304993175,99.81568472468871,99.80084660671041,77.54500355775829,10.55,12.85,11.75,3.3,4.35,3.9,4.45,5.6,5.05,234521.0697636222,149563.8118249262,26.329963253405204,27.386356136719506,,34.99672259597019,,52.93781518999461,,39.342631662088486,,33.573054634853506,42.295791921880465,44.566628071932655,40.196752471869985,37.91071833358755,40.11306062854882,37.39317231666033,40.10911571256566,37.32120646864712,43.030043853779524,39.85845302649641,,107.391050745771,76.78824452869672,212.91774314526248,110.78755790866998,157.117572692794,104.78097622027515,116.42374399478899,73.69937367503537,100.7269306422646,58.7423627479125,36.58169997921419,66.9762388763079,47.2497544862053,1.2357474812445601,0.38708937898048706
2000-12-01,0.6,-6.8,-6.8,6.1,-19.6,25.1,35.5,2.4,7.4,7.4,9.8,17.0,15.6,-3.3,-3.3,-1.4,16.5,-2.3,9.0,-2.8,-5.6,-5.7,2.2,16.8,16.8,31.8,16.2,22.0,9.4,1.60230732254446,110.920238279559,38.30886865834974,1.4922,33.9,30.950000000000003,76.80000000000001,35.95,36.0,41.68493064312736,36.05,21.35,18.95,41.5,34.25,34.25,39.35,43.699999999999996,49.7,19.2,34.0,36.95,37.6,27.071947544068603,42.65,35.94970674486804,35.943535791809886,39.31559816611365,23.71575449712961,23.61579506050768,34.6576323987539,34.0,30.9,76.8,27.9,36.0,35.849999999999994,21.35,18.4,41.65,34.15,34.35,39.35,43.800000000000004,49.75,19.2,34.0,36.699999999999996,27.1,39.5,32.45,37.0,1.7,-5.8,-5.8,24.8,24.8,,5.95539,4.9118,5.7383,45.25068278919657,66.03928948991731,68.32450544991846,67.64240672491795,201.5,298.0,499.5,354.0,590.0,944.0,555.5,888.0,1443.5,376500.0,1020.6500000000001,3.3499999999999996,100.419522229884,9.0,100.084354749312,1.7,100.55086210751499,31.8,101.035045376714,119.19187690000001,100.65252106215901,5.95539,99.1090470002544,100.192173970305,100.17686275570699,40.45138971137839,99.8149053838106,99.80000536838871,77.7483355724375,9.8,12.95,11.45,3.2,4.4,3.8499999999999996,4.199999999999999,5.65,5.0,237490.77005154605,153058.2855098589,23.380151232631395,24.421912635567345,,35.230771471601244,,32.07516029746182,,38.70666384835206,,32.87997923899029,42.270335638700054,44.19024348259161,40.26616283628195,37.963796177363065,39.97681785802506,37.2814791614429,40.223543705220784,37.46766500625172,42.89825100222337,39.958090653129766,,109.240896591951,72.69569524570664,214.91790982581847,111.38318994043699,151.150442477876,99.72465581977474,104.5028906440842,68.45114404133295,94.46677499358596,52.52901168933894,36.520567449377914,74.59853309705795,43.5785419046009,6.026888986437019,7.07891629754294
